Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,Resigned,TravelFrequency,MaritalStatusNum,OvertimeFlag,DepartmentCode,EducationFieldCode,GenderCode,JobRoleCode,Over18Code,EmployeeSourceCode,UniqueCount,durCode,Duration At Company
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,863,124318,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1,2,0,2,4,1,5,1,2,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Medical,1,866,124321,2,Female,49,3,5,Research Director,3,Married,19545,16280,2,Y,No,12,4,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1,2,0,2,3,1,5,1,2,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,869,124324,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1,2,0,2,4,1,5,1,2,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Medical,1,870,124325,2,Female,49,3,5,Research Director,3,Married,19545,16280,2,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1,2,0,2,3,1,5,1,2,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,2989,126444,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,2,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,2992,126447,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,3,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,2995,126450,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,2,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,2996,126451,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,3,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,2997,126452,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,2,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,3000,126455,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,3,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,3003,126458,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,2,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,3004,126459,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1,0,1,0,3,1,8,1,1,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4899,128354,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4900,128355,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4904,128359,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4905,128360,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4907,128362,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4908,128363,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4912,128367,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,0,0,2,0,1,8,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,5923,129378,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,2,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,5925,129380,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,5,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,0,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,5929,129384,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,2,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,5930,129385,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,5,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,0,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,5931,129386,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,2,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,5933,129388,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,5,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,0,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,5937,129392,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,2,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,5938,129393,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,5,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2,0,0,0,0,0,7,1,0,1,6-10,3
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6153,129608,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6154,129609,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,5,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6158,129613,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6159,129614,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,5,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6161,129616,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6162,129617,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,5,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,6166,129621,2,Female,54,3,2,Sales Executive,3,Divorced,4260,5915,5,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Seek,1,0,1,1,2,0,1,7,1,8,1,3-5,2
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,10478,133933,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,1,0,0,2,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Other,1,10480,133935,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,2,0,0,5,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,10481,133936,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,2,0,0,2,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Other,1,10482,133937,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,2,0,0,5,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,10486,133941,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,2,0,0,2,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,10487,133942,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,2,80,1,9,3,3,4,2,1,3,GlassDoor,1,1,2,0,0,2,0,3,1,2,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Other,1,10489,133944,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,2,0,0,5,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Other,1,10490,133945,3,Male,66,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,2,0,0,5,0,3,1,6,1,21-40,4
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10714,134169,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10716,134171,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,1,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10720,134175,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10721,134176,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,1,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10722,134177,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10725,134180,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,1,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10729,134184,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,10730,134185,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,1,Y,Yes,13,3,3,80,1,10,1,2,7,7,1,0,Company Website,1,1,2,1,2,0,1,2,1,1,1,6-10,3
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,10812,134267,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,4,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,2,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,10814,134269,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,0,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,10817,134272,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,2,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,10818,134273,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,0,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,10820,134275,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,4,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,2,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,10822,134277,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,0,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,10825,134280,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,2,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Life Sciences,1,10826,134281,3,Male,66,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,Jora,1,2,0,1,0,0,0,6,1,4,1,3-5,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,1,1,Life Sciences,1,11837,135292,4,Female,65,2,4,Manufacturing Director,4,Married,12742,7060,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1,1,0,2,0,1,4,1,5,1,0-2,0
41,Voluntary Resignation,Travel_Rarely,1356,Sales,22,3,Other,1,12088,135543,4,Female,82,3,3,Manufacturing Director,1,Single,10880,5083,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,Recruit.net,1,1,0,0,0,5,1,4,1,6,1,21-40,4
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13848,137303,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,No,17,4,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13851,137306,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,3,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13852,137307,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13853,137308,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,3,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13856,137311,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,No,17,4,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13859,137314,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,3,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13860,137315,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
41,Voluntary Resignation,Non-Travel,906,Research & Development,5,2,Life Sciences,1,13861,137316,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,3,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Company Website,1,0,2,0,2,0,0,6,1,1,1,0-2,0
